Molecule,Name,Dipole,SMILES
CF2ClCF2Cl,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",0.000,FC(F)(Cl)C(F)(F)Cl
CF3CF2Cl,pentafluorochloroethane,0.520,FC(F)(F)C(F)(F)Cl
CF3CCl3,"1,1,1-trifluoro-2,2,2-trichloroethane",0.740,FC(F)(F)C(Cl)(Cl)Cl
GeH3CH3,methyl germane,0.643,[CH3][GeH3]
C2H5Br,Ethyl bromide,2.030,CCBr
CH2BrCH2Br,"Ethane, 1,2-dibromo-",1.040,BrCCBr
C2H5I,Ethyl iodide,1.976,CCI
C3H6,Cyclopropane,0.000,C1CC1
CH2CHCH3,Propene,0.363,C=CC
C2H5CN,ethyl cyanide,4.011,CCC#N
C3H4N2,1H-Imidazole,3.667,c1c[nH]cn1
C3H3N3,"1,3,5-Triazine",0.000,c1ncncn1
CH3OCH3,Dimethyl ether,1.302,COC
CH3CH2OH,Ethanol,1.679,CCO
CH3CONH2,Acetamide,3.760,CC(N)=O
CH3CHNOH,Acetaldoxime,0.938,C/C=N/O
HCONHCH3,N-methylformamide,3.830,CNC=O
C4H4O,Furan,0.660,c1ccoc1
C3H4O2,β–Propiolactone,4.180,O=C1OCC1
C4H2O3,Maleic Anhydride,4.141,O=C1C=CC(=O)O1
CH2CHCH2F,Allyl Fluoride,1.930,C=CCF
CH3SCH3,Dimethyl sulfide,1.500,CSC
CH3CH2SH,ethanethiol,1.610,CCS
C4H4S,Thiophene,0.550,c1ccsc1
C3H5Cl,1-chloro-1-propene(E),1.970,
CH2ClCH2OH,2-Chloroethanol,1.780,OCCCl
CH3SeCH3,dimethylselenide,1.410,C[Se]C
C4H4Se,selenophene,0.398,c1cc[se]c1
C4H6,1-Methylcyclopropene,0.840,CC1=CC1
CH2CCHCH3,"1,2-Butadiene",0.400,C=C=CC
CH3CCCH3,2-Butyne,0.000,CC#CC
CHCCH2CH3,1-Butyne,0.782,C#CCC
CH3CH2NH2,Ethylamine,1.220,CCN
CH3NHCH3,Dimethylamine,1.030,CNC
C4H5N,(E)-2-Butenenitrile,4.500,C/C=C/C#N
C4H4N2,Pyrazine,0.000,c1cnccn1
CH3CH2CHO,Propanal,2.520,CCC=O
C3H6O,Propylene oxide,2.010,CC1CO1
CH3COCH3,Acetone,2.880,CC(C)=O
C3H5OH,Cyclopropanol,1.460,OC1CC1
CH3OCH2CN,Methoxyacetonitrile,2.980,COCC#N
H2NCH2COOH,Glycine,1.095,NCC(=O)O
C4H4O2,2(5H)-Furanone,4.905,O=C1C=CCO1
CH3PHCH3,dimethylphosphine,1.230,CPC
C3H6S,"Thiirane, methyl-",1.950,CC1CS1
CH3SOCH3,Dimethyl sulfoxide,3.960,CS(C)=O
CH3SO2NH2,methanesulfonamide,4.590,CS(N)(=O)=O
C3H8,Propane,0.084,CCC
C5H6,Cyclopropylacetylene,0.892,C#CC1CC1
C3H7N,Azetidine,1.340,C1CNC1
C5H5N,"E-2,4-pentadienenitrile",3.960,C/C=C/C=C/C#N
C4H6O,Cyclobutanone,2.990,O=C1CCC1
CHOCHCHCH3,2-Butenal,3.679,C/C=C/C=O
CH2CHOCHCH2,Vinyl ether,0.782,C=COC=C
HCOOC2H5,Ethyl formate,1.980,CCOC=O
CH3CH2COOH,Propanoic Acid,1.750,CCC(=O)O
CH3COOCH3,methyl acetate,1.720,COC(C)=O
C2H5NO3,"Nitric acid, ethyl ester",3.390,CCO[N+](=O)[O-]
C5H4O2,furfural,3.920,O=Cc1ccco1
CH2FCH2CH3,1-Fluoropropane,2.050,CCCF
CH3CHFCH3,2-Fluoropropane,1.956,CC(C)F
CH3CF2CH3,"2,2-difluoropropane",2.400,CC(C)(F)F
CH2FCH2CH2F,"1,3-difluoropropane",2.082,FCCCF
SiH2(CH3)2,dimethylsilane,0.750,C[Si]C
C4H6S,"Thiophene, 2,5-dihydro-",1.750,C1=CCSC1
CH2CHSCHCH2,Divinyl sulfide,1.200,C=CSC=C
C2H6O2S,Dimethyl sulfone,4.490,CS(C)(=O)=O
CH3CHClCH3,"Propane, 2-chloro-",2.170,CC(C)Cl
CH2ClCH2CH3,"Propane, 1-chloro-",2.020,CCCCl
CH3CCl2CH3,"Propane, 2,2-dichloro-",2.200,CC(C)(Cl)Cl
CH2ClCH2CH2Cl,"1,3-dichloropropane",2.080,ClCCCCl
CH3CHBrCH3,i-propyl bromide,2.210,CC(C)Br
CH3CH2CH2Br,n-propyl bromide,2.180,CCCBr
CH2CHCH2CH3,1-Butene,0.359,C=CCC
CH2C(CH3)CH3,"1-Propene, 2-methyl-",0.503,C=C(C)C
CH3CHCHCH3,"2-Butene, (Z)-",0.257,C/C=C\C
C4H8,methylcyclopropane,0.139,CC1CC1
C6H6,Benzvalene,0.883,C1=CC2C3C1C23
C2H8N2,Ethylenediamine,1.990,NCCN
CH3CH2CH2CN,Butanenitrile,4.070,CCCC#N
CH3OC2H5,"Ethane, methoxy-",1.174,CCOC
C3H7OH,1-Propanol,1.580,CCCO
CH3CHOHCH3,Isopropyl alcohol,1.580,CC(C)O
C3H7NO,dimethylformamide,3.820,CN(C)C=O
C3H6O3,"1,3,5-Trioxane",2.080,C1OCOCO1
C6H5F,Fluorobenzene,1.600,Fc1ccccc1
C6H4F2,metadifluorobenzene,1.580,Fc1cccc(F)c1
C2H6O3S,"Sulfurous acid, dimethyl ester",3.090,COS(=O)OC
C6H5Cl,chlorobenzene,1.780,Clc1ccccc1
C6H5Br,bromobenzene,1.700,Brc1ccccc1
C5H8,1-pentyne,0.853,C#CCCC
N(CH3)3,Trimethylamine,0.612,CN(C)C
NH2CH2CH2CH3,1-Propanamine,1.170,CCCN
CH3CH(NH2)CH3,2-Propanamine,1.190,CC(C)N
C6H5CN,phenyl cyanide,4.515,N#Cc1ccccc1
CH3COCH2CH3,2-Butanone,2.779,CCC(C)=O
CHOCH2CH2CH3,Butanal,2.720,CCCC=O
C4H8O,"Furan, tetrahydro-",1.630,C1CCOC1
C6H5OH,phenol,1.224,Oc1ccccc1
B4H10,Tetraborane(10),0.486,[B]1B2[B]B12
CH3CH2CH2CH3,Butane,0.090,CCCC
CH3CH(CH3)CH3,Isobutane,0.132,CC(C)C
C6H8,"1,3-Cyclohexadiene",0.437,C1=CCCC=C1
C6H5CCH,phenylacetylene,0.656,C#Cc1ccccc1
C6H5NH2,aniline,1.530,Nc1ccccc1
C5H8O,Cyclopentanone,3.250,O=C1CCCC1
C4H8O2,"1,3-Dioxane",2.060,C1COCOC1
C6H5CHO,benzaldehyde,3.140,O=Cc1ccccc1
C6H5NO2,Nitrobenzene,4.220,O=[N+]([O-])c1ccccc1
C4H9F,1-fluorobutane,1.810,CCCCF
SiH(CH3)3,trimethylsilane,0.525,C[SiH](C)C
CH3CHClCH2CH3,"Butane, 2-chloro-",2.040,CCC(C)Cl
CH2ClCH2CH2CH3,"Butane, 1-chloro-",2.050,CCCCCl
CH3CCl(CH3)CH3,"Propane, 2-chloro-2-methyl-",2.130,CC(C)(C)Cl
C4H8Cl2,"1,4-Dichlorobutane",2.220,ClCCCCCl
C5H10,"2-Pentene, (Z)-",0.283,C/C=C\CC
CH2CHCH2CH2CH3,1-pentene,0.391,C=CCCC
C6H5CH3,toluene,0.332,Cc1ccccc1
C7H8,cycloheptatriene,0.250,C1=CC=CCC=C1
C5H9N,Pentanenitrile,4.120,CCCCC#N
C4H10O,"Ethanol, 1,1-dimethyl-",1.740,CC(C)(C)O
C5H8O2,Acetylacetone,,CC(=O)CC(C)=O
C2H5SC2H5,Diethyl sulfide,1.556,CCSCC
C6H10,1-Hexyne,0.830,C#CCCCC
C8H8,cubane,0.000,C12C3C4C1C1C2C3C41
NH(C2H5)2,diethylamine,0.920,CCNCC
C5H10O,"2H-Pyran, tetrahydro-",1.740,C1CCOCC1
C6H5OCH3,Anisole,1.262,COc1ccccc1
C5H10S,"2H-Thiopyran, tetrahydro-",1.781,C1CCSCC1
C5H12,"Butane, 2-methyl-",0.130,CCC(C)C
C9H8,Indene,0.620,C1=Cc2ccccc2C1
C5H11N,Piperidine,1.189,C1CCNCC1
C6H10O,cyclohexanone,3.020,O=C1CCCCC1
CH3COC6H5,acetophenone,3.020,CC(=O)c1ccccc1
Si(CH3)4,tetramethylsilane,0.000,C[Si](C)(C)C
C5H11Cl,"Pentane, 1-chloro-",2.160,CCCCCCl
C6H5CH2CH3,Ethylbenzene,0.590,CCc1ccccc1
C10H8,Azulene,0.882,c1ccc2cccc-2cc1
C7H12,Norbornane,0.091,C1CC2CCC1C2
C6H12O,hexanal,2.619,CCCCCC=O
C3H7OC3H7,di-n-propyl ether,1.210,CCCOCCC
C6H15N,triethylamine,0.660,CCN(CC)CC
